id,uuid,user_id,created_at,url,image_url,description,oauth_application_id,place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
47291183,24b79691-b2c0-41d1-bf87-3871705c3f5b,257635,2020-05-25 19:26:43 +0200,https://www.inaturalist.org/observations/47291183,,,,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",Willow Flycatcher,Empidonax traillii,Willow Flycatcher,Aves,16611
107291421,d63364b3-aa24-4597-a70a-e48b254d17c8,917650,2022-02-23 03:08:20 +0100,https://www.inaturalist.org/observations/107291421,https://inaturalist-open-data.s3.amazonaws.com/photos/180421688/medium.jpeg,,,"Indian Ridge Marsh, Chicago, IL 60617, USA",Coyote,Canis latrans,Coyote,Mammalia,42051
65949624,a0529e43-8eb0-4dd4-8bbb-dccff139b1c4,2164440,2020-12-01 19:43:35 +0100,https://www.inaturalist.org/observations/65949624,https://inaturalist-open-data.s3.amazonaws.com/photos/106233030/medium.jpeg,,,"Uptown, Chicago, IL, USA",Domestic Mallard,Anas platyrhynchos domesticus,Domestic Mallard,Aves,236935
279605587,dc2928f3-78f6-4675-a9b0-95d3da49305b,462579,2025-05-09 03:53:08 +0200,https://www.inaturalist.org/observations/279605587,https://static.inaturalist.org/photos/502111814/medium.jpg,,843,"Chicago, IL, US",Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
44447173,ff6ad461-945e-49f1-b334-8700fd4bf069,917650,2020-05-01 07:18:53 +0200,https://www.inaturalist.org/observations/44447173,https://inaturalist-open-data.s3.amazonaws.com/photos/70472786/medium.jpeg,,,"Cook County, US-IL, US",Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
18689522,72ee302f-f98c-4a49-a016-e12f9cec26a8,257635,2018-11-28 06:23:42 +0100,https://www.inaturalist.org/observations/18689522,https://inaturalist-open-data.s3.amazonaws.com/photos/28613613/medium.jpeg,IMG_3387,,"Indian Ridge Marsh, South Deering, Chicago, Cook County, IL, USA",Lesser Yellowlegs,Tringa flavipes,Lesser Yellowlegs,Aves,3893
32796799,cca493b8-e7b7-439a-b281-fdde54a66179,2188366,2019-09-16 00:17:09 +0200,https://www.inaturalist.org/observations/32796799,https://inaturalist-open-data.s3.amazonaws.com/photos/51810538/medium.jpeg,,2,"1258 S California, Chicago, IL 60623, USA",Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
291572465,34e00ff5-7da6-4d11-952b-e8cd11a9e383,182167,2025-06-21 21:50:57 +0200,https://www.inaturalist.org/observations/291572465,https://inaturalist-open-data.s3.amazonaws.com/photos/524606906/medium.jpg,,,Jackson Park - Wooded Island - Bobolink Meadow,Indigo Bunting,Passerina cyanea,Indigo Bunting,Aves,10227
210970811,317380d6-5e35-4db7-a4fe-ab7d570bb97a,280601,2024-04-28 19:39:38 +0200,https://www.inaturalist.org/observations/210970811,https://inaturalist-open-data.s3.amazonaws.com/photos/373063322/medium.jpeg,,,"Jackson Park, Chicago, IL, USA",Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,Aves,145245
109303743,c93cacd9-18f8-46ed-8579-2fac479570d6,257635,2022-03-23 19:06:35 +0100,https://www.inaturalist.org/observations/109303743,https://inaturalist-open-data.s3.amazonaws.com/photos/184198608/medium.jpeg,,,"Wrigleyville wRoost, Lake View, Chicago, Cook County, IL, USA",House Finch,Haemorhous mexicanus,House Finch,Aves,199840
263634743,afae1918-bb13-46b4-9217-990d9e848e45,8628344,2025-03-02 16:36:34 +0100,https://www.inaturalist.org/observations/263634743,,,,美国伊利诺伊州芝加哥海德公园,麝鼠,Ondatra zibethicus,Muskrat,Mammalia,45763
46551810,15267a8b-6966-4fc1-afe1-54c297524517,917650,2020-05-20 02:50:33 +0200,https://www.inaturalist.org/observations/46551810,https://inaturalist-open-data.s3.amazonaws.com/photos/73832189/medium.jpeg,,,"Cook County, US-IL, US",Baltimore Oriole,Icterus galbula,Baltimore Oriole,Aves,9346
98444117,2d37cc0d-f235-4b80-878c-31e46c74399f,257635,2021-10-17 03:27:00 +0200,https://www.inaturalist.org/observations/98444117,https://inaturalist-open-data.s3.amazonaws.com/photos/163901070/medium.jpeg,,,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",Águila pescadora,Pandion haliaetus,Osprey,Aves,116999
135966091,ea9ce962-3d2a-4875-9065-0497014122f1,2164440,2022-09-21 23:28:06 +0200,https://www.inaturalist.org/observations/135966091,https://inaturalist-open-data.s3.amazonaws.com/photos/231981282/medium.jpeg,,,"Lake View, Chicago, IL, USA",Hairy Woodpecker,Dryobates villosus,Hairy Woodpecker,Aves,792990
222626112,a9aa4891-aa7b-4de3-a71b-36040b6149f1,3062594,2024-06-14 14:23:28 +0200,https://www.inaturalist.org/observations/222626112,https://inaturalist-open-data.s3.amazonaws.com/photos/394381192/medium.jpg,,3,"Maggie Daley Park, Chicago, IL, US",House Sparrow,Passer domesticus,House Sparrow,Aves,13858
77828152,797cd2e1-cf52-4275-bb5d-69cf9d156229,3725287,2021-05-08 02:35:53 +0200,https://www.inaturalist.org/observations/77828152,https://static.inaturalist.org/photos/127303013/medium.jpg,,,"Cook County, US-IL, US",Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Aves,9096
211220648,2a393d8b-4a24-42ca-80ae-4adc6065817a,455271,2024-04-29 02:07:34 +0200,https://www.inaturalist.org/observations/211220648,https://static.inaturalist.org/photos/373469401/medium.jpeg,,,"Montrose Point Bird Sanctuary, Chicago, IL 60640, USA",Black-capped Chickadee,Poecile atricapillus,Black-capped Chickadee,Aves,144815
161912025,2883d57c-4874-4e23-ad42-291372a73a0a,1086644,2023-05-16 04:04:24 +0200,https://www.inaturalist.org/observations/161912025,https://inaturalist-open-data.s3.amazonaws.com/photos/279905308/medium.jpg,,,"Chicago, IL 60640, USA",American Robin,Turdus migratorius,American Robin,Aves,12727
247840732,e324998c-acd3-4103-bbd6-16cf4529aa20,1218191,2024-10-18 02:15:27 +0200,https://www.inaturalist.org/observations/247840732,https://static.inaturalist.org/photos/442723883/medium.jpeg,,,"Uptown, Chicago, IL, USA",Ruby-crowned Kinglet,Corthylio calendula,Ruby-crowned Kinglet,Aves,1289388
35752021,2e6d1c0b-ea26-4be7-a2e9-3a30b2893b32,257635,2019-11-16 22:32:18 +0100,https://www.inaturalist.org/observations/35752021,https://inaturalist-open-data.s3.amazonaws.com/photos/56412158/medium.jpeg,,,"Montrose Dunes Beach, Uptown, Chicago, Cook County, IL, USA",American Pipit,Anthus rubescens,American Pipit,Aves,13732
77392495,eebfb1f7-0234-4132-b490-e2676ca334b1,3093839,2021-05-05 04:38:41 +0200,https://www.inaturalist.org/observations/77392495,https://inaturalist-open-data.s3.amazonaws.com/photos/126566847/medium.jpeg,,,"2741 W Montrose Ave, Chicago, IL 60618, USA",Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
226754280,fd198a45-eab4-4ca8-87fe-3558c585b9e5,182167,2024-07-02 22:16:26 +0200,https://www.inaturalist.org/observations/226754280,https://inaturalist-open-data.s3.amazonaws.com/photos/402183973/medium.jpeg,,,Jackson Park - Wooded Island - Bobolink Meadow,House Wren,Troglodytes aedon,Northern House Wren,Aves,7562
83700707,12956f24-2304-4501-8b87-51d9f7a82fb8,4509124,2021-06-19 23:42:11 +0200,https://www.inaturalist.org/observations/83700707,https://static.inaturalist.org/photos/137491274/medium.jpeg,,333,Chicago,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
234602268,83a2f121-aceb-4582-89db-765fa50c4591,280601,2024-08-09 01:08:43 +0200,https://www.inaturalist.org/observations/234602268,https://inaturalist-open-data.s3.amazonaws.com/photos/417089851/medium.jpeg,,,"Jackson Park, Chicago, IL, USA",Turkey Vulture,Cathartes aura,Turkey Vulture,Aves,4756
76691079,ab45b861-8871-42e8-83ae-fe37074d9fd1,1993157,2021-05-02 22:56:35 +0200,https://www.inaturalist.org/observations/76691079,https://inaturalist-open-data.s3.amazonaws.com/photos/125432895/medium.jpeg,,2,"McKinley Park, Chicago, IL, USA",Red-winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,Aves,9744
81796270,706cdb18-9eea-4f63-9840-092efc8367d8,4389494,2021-06-06 03:06:55 +0200,https://www.inaturalist.org/observations/81796270,https://inaturalist-open-data.s3.amazonaws.com/photos/134193411/medium.jpg,,3,"N Rogers Ave, Chicago, IL, US",House Sparrow,Passer domesticus,House Sparrow,Aves,13858
154722781,99c1d1df-506e-4c56-a96a-2fd783d812fc,280601,2023-04-13 19:40:03 +0200,https://www.inaturalist.org/observations/154722781,https://inaturalist-open-data.s3.amazonaws.com/photos/267370675/medium.jpeg,,,"Jackson Park, Chicago, IL, USA",Monk Parakeet,Myiopsitta monachus,Monk Parakeet,Aves,19349
162659534,e64f0354-a250-45fb-b2e9-a615e6ac203c,118471,2023-05-20 15:50:37 +0200,https://www.inaturalist.org/observations/162659534,https://inaturalist-open-data.s3.amazonaws.com/photos/281252818/medium.jpg,,,"Montrose Point, Chicago, IL, USA",Eastern Chipmunk,Tamias striatus,Eastern Chipmunk,Mammalia,46217
34869252,2d85a61e-0389-43af-9cb9-78c25381067d,762683,2019-10-25 15:32:02 +0200,https://www.inaturalist.org/observations/34869252,https://static.inaturalist.org/photos/54933951/medium.jpeg,Caught a HETH and was eating it. ,,"Museum Campus, Chicago, IL, USA",American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
32872382,555fb7d2-aa6e-4bfb-8636-94f9c610977b,1970094,2019-09-17 04:24:58 +0200,https://www.inaturalist.org/observations/32872382,https://inaturalist-open-data.s3.amazonaws.com/photos/51590482/medium.jpeg,,,"Uptown, Chicago, IL, USA",Black-capped Chickadee,Poecile atricapillus,Black-capped Chickadee,Aves,144815
24093671,83b0a666-883e-4df8-9590-17ab67e81e1c,454879,2019-04-30 03:16:15 +0200,https://www.inaturalist.org/observations/24093671,https://inaturalist-open-data.s3.amazonaws.com/photos/37259914/medium.jpg,,3,"LaBagh Woods, Chicago, IL, US",House Wren,Troglodytes aedon,Northern House Wren,Aves,7562
259930503,adbf8d62-6899-4270-af18-9fc011b793ba,917650,2025-01-29 05:24:10 +0100,https://www.inaturalist.org/observations/259930503,https://inaturalist-open-data.s3.amazonaws.com/photos/466697410/medium.jpg,,,"South Side, Chicago, IL, USA",Trumpeter Swan,Cygnus buccinator,Trumpeter Swan,Aves,6915
100531352,7a5c4fae-dad9-472b-9684-cba4ceeb0c0b,5193276,2021-11-07 22:02:30 +0100,https://www.inaturalist.org/observations/100531352,https://inaturalist-open-data.s3.amazonaws.com/photos/167802644/medium.jpeg,,2,"California & 19th Street, Chicago, IL 60608, USA",Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
50988142,dee06cff-2813-4e07-888f-6f711174afb5,788705,2020-06-26 16:34:08 +0200,https://www.inaturalist.org/observations/50988142,https://static.inaturalist.org/photos/80986790/medium.jpeg,,,"Uptown, Chicago, IL, USA",Eastern Kingbird,Tyrannus tyrannus,Eastern Kingbird,Aves,16782
35644004,1ea02a41-3b46-4b62-98e9-14d0cffddcf3,280601,2019-11-13 17:13:45 +0100,https://www.inaturalist.org/observations/35644004,https://inaturalist-open-data.s3.amazonaws.com/photos/56226294/medium.jpeg,"With N. Cardinal and, in 2nd photo, Black-capped Chickadee.",,"Chicago, IL 60640, USA",House Sparrow,Passer domesticus,House Sparrow,Aves,13858
55750847,64c82fcb-34f9-4a0f-9595-1e7c111de871,2851,2020-08-08 02:18:00 +0200,https://www.inaturalist.org/observations/55750847,https://inaturalist-open-data.s3.amazonaws.com/photos/88794135/medium.jpg,"Male Carolina Paroquet (Conuropsis carolinensis carolinensis) as a stuffed and mounted museum specimen in the Field Museum, Chicago, Illinois, USA. Photographed on 22 December 2010.

This species is extinct - last seen in Florida in 1904.",,"Cook County, US-IL, US",Conuropsis carolinensis carolinensis,Conuropsis carolinensis carolinensis,,Aves,1007788
55171134,62f781d9-9625-4b76-8614-acdc638fa905,1126062,2020-08-02 18:38:00 +0200,https://www.inaturalist.org/observations/55171134,https://static.inaturalist.org/photos/87830973/medium.jpg,,3,"Jackson Park, Chicago, IL, US",Double-crested Cormorant,Nannopterum auritum,Double-crested Cormorant,Aves,1454382
257630790,a48c48cd-2e5e-4a2e-9d35-0ceb0152fae4,280601,2025-01-06 21:42:29 +0100,https://www.inaturalist.org/observations/257630790,https://inaturalist-open-data.s3.amazonaws.com/photos/462187834/medium.jpeg,Did not vocalize.,,"Jackson Park, Chicago, IL, USA",Empidonax Flycatchers,Empidonax,Empidonax Flycatchers,Aves,16597
317601645,30b7a450-cc7c-4663-8758-beb764fade69,9122264,2025-09-29 21:04:50 +0200,https://www.inaturalist.org/observations/317601645,https://inaturalist-open-data.s3.amazonaws.com/photos/573918752/medium.jpg,,2,"Chicago, IL 60660, USA",Northern Flicker,Colaptes auratus,Northern Flicker,Aves,18236
86065102,f86da31d-57e2-45ba-baaf-99c713883c17,3093839,2021-07-07 20:04:51 +0200,https://www.inaturalist.org/observations/86065102,https://inaturalist-open-data.s3.amazonaws.com/photos/141712128/medium.jpeg,,,"5801 N Western Ave, Chicago, IL 60659, USA",Red-bellied Woodpecker,Melanerpes carolinus,Red-bellied Woodpecker,Aves,18205
46041841,3c401883-eaa5-40be-97cd-b226a8fcefe1,280601,2020-05-16 04:28:10 +0200,https://www.inaturalist.org/observations/46041841,https://inaturalist-open-data.s3.amazonaws.com/photos/73024904/medium.jpeg,,,"Washington Park, Chicago, IL, USA",Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602
192095541,01cd8385-ba7a-42d2-a84a-91b5373f4900,2164440,2023-11-25 19:31:03 +0100,https://www.inaturalist.org/observations/192095541,https://inaturalist-open-data.s3.amazonaws.com/photos/337146130/medium.jpeg,,,"Lake View, Chicago, IL, USA",Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
42698950,15cf2ba4-7ccc-4f56-b576-f605bad098f0,2771843,2020-04-20 22:30:11 +0200,https://www.inaturalist.org/observations/42698950,https://static.inaturalist.org/photos/67808955/medium.jpg,,3,"N Central Ave, Chicago, IL, US",Eastern Cottontail,Sylvilagus floridanus,Eastern Cottontail,Mammalia,43111
187304474,aacbcf68-37b0-4197-9e2b-53459bd528f0,5834107,2023-10-13 01:03:39 +0200,https://www.inaturalist.org/observations/187304474,https://inaturalist-open-data.s3.amazonaws.com/photos/327525877/medium.jpeg,,2,"Chicago, IL 60622, USA",White-crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,Aves,9176
94112400,cea68198-508d-4a3f-b3ef-16e7a410d03b,3873346,2021-09-08 17:23:39 +0200,https://www.inaturalist.org/observations/94112400,https://static.inaturalist.org/photos/156077497/medium.jpeg,A very nice surprise to see playing in the pond,2,"Irving Park, Chicago, IL, USA",Red-breasted Nuthatch,Sitta canadensis,Red-breasted Nuthatch,Aves,14823
109984199,1e43abf2-fa86-4286-89e2-58f86f477d22,257635,2022-03-31 06:36:33 +0200,https://www.inaturalist.org/observations/109984199,https://inaturalist-open-data.s3.amazonaws.com/photos/185465334/medium.jpeg,,,"Montrose Cemetery, North Park, Chicago, Cook County, IL, USA",Brown-headed Cowbird,Molothrus ater,Brown-headed Cowbird,Aves,10373
263793772,134d1027-c0e3-4e91-8635-7820abb0f6e0,280601,2025-03-03 21:11:56 +0100,https://www.inaturalist.org/observations/263793772,https://inaturalist-open-data.s3.amazonaws.com/photos/473959537/medium.jpeg,,,"Jackson Park, Chicago, IL, USA",Hermit Thrush,Catharus guttatus,Hermit Thrush,Aves,12890
131817988,00b9c773-2f09-4edf-933d-a19351ee9d55,4619851,2022-08-22 01:41:19 +0200,https://www.inaturalist.org/observations/131817988,https://inaturalist-open-data.s3.amazonaws.com/photos/224375643/medium.jpeg,,,"Montrose Point Bird Sanctuary, Cook, IL",Cape May Warbler,Setophaga tigrina,Cape May Warbler,Aves,145231
238595194,e8f7238c-7a80-460f-94ad-ef7635343776,4567001,2024-08-29 16:03:33 +0200,https://www.inaturalist.org/observations/238595194,https://inaturalist-open-data.s3.amazonaws.com/photos/424800193/medium.jpeg,,2,"Chicago, IL 60606, USA",Ovenbird,Seiurus aurocapilla,Ovenbird,Aves,62550
261694801,a3e1e755-cc53-42ae-a149-9d84b5b7a0e0,917650,2025-02-15 06:15:42 +0100,https://www.inaturalist.org/observations/261694801,https://inaturalist-open-data.s3.amazonaws.com/photos/470199308/medium.jpg,,,"South Side, Chicago, IL, USA",Bald Eagle,Haliaeetus leucocephalus,Bald Eagle,Aves,5305
155253303,8dae3530-9f4b-4136-943c-fe5e9c039e34,5551878,2023-04-17 02:23:05 +0200,https://www.inaturalist.org/observations/155253303,https://inaturalist-open-data.s3.amazonaws.com/photos/268341103/medium.jpg,,3,"Lincoln Park, Chicago, IL, US",Black-capped Chickadee,Poecile atricapillus,Black-capped Chickadee,Aves,144815
283282838,a3c39fb0-c6fb-4ed9-959f-ca376a4f2354,8395325,2025-05-23 04:13:33 +0200,https://www.inaturalist.org/observations/283282838,https://inaturalist-open-data.s3.amazonaws.com/photos/509004421/medium.jpg,,,"Dunning, Chicago, IL, USA",Cooper's Hawk,Astur cooperii,Cooper's Hawk,Aves,1579017
267946993,f6569d85-9a1c-4541-bf66-862b40626943,462579,2025-03-31 21:13:35 +0200,https://www.inaturalist.org/observations/267946993,https://static.inaturalist.org/photos/481578885/medium.jpg,,3,"Northerly Island, Chicago, IL, US",Horned Grebe,Podiceps auritus,Horned Grebe,Aves,4209
35304086,a06175f5-3652-4f7d-ac6d-adfc0aca8e8d,1161837,2019-11-04 23:29:30 +0100,https://www.inaturalist.org/observations/35304086,https://static.inaturalist.org/photos/55654212/medium.jpeg,M2E93L193-193R381B38,,"5025 S St Louis Ave, Chicago, IL 60632, USA",Gray Catbird,Dumetella carolinensis,Gray Catbird,Aves,14995
79052508,19643b96-e0ee-4b8e-8fcf-7470117fa28f,292489,2021-05-16 22:20:24 +0200,https://www.inaturalist.org/observations/79052508,https://inaturalist-open-data.s3.amazonaws.com/photos/129441664/medium.jpg,,3,"W 18th St, Chicago, IL, US",House Sparrow,Passer domesticus,House Sparrow,Aves,13858
159025327,a24119d1-8d26-44f0-afa4-e1a99e42c1f6,917650,2023-05-02 04:49:28 +0200,https://www.inaturalist.org/observations/159025327,https://inaturalist-open-data.s3.amazonaws.com/photos/274750353/medium.jpeg,,,"Uptown, Chicago, IL, USA",Field Sparrow,Spizella pusilla,Field Sparrow,Aves,9152
150690550,f3c129eb-cebb-47c6-925d-b498b192afc9,280601,2023-03-10 00:05:08 +0100,https://www.inaturalist.org/observations/150690550,https://inaturalist-open-data.s3.amazonaws.com/photos/259887043/medium.jpeg,,,"Steelworkers Park, Chicago, IL, USA",American Herring Gull,Larus smithsonianus,American Herring Gull,Aves,1578489
108267500,8289e413-497f-42bc-8014-42953a865484,4581056,2022-03-10 00:13:38 +0100,https://www.inaturalist.org/observations/108267500,https://inaturalist-open-data.s3.amazonaws.com/photos/182252506/medium.jpeg,Digital Camera,,"555 E 51st St, Chicago, IL 60615, USA",Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
155188635,0d8adb13-d957-4261-93cb-f9d35a24c25a,280601,2023-04-16 20:06:29 +0200,https://www.inaturalist.org/observations/155188635,https://inaturalist-open-data.s3.amazonaws.com/photos/268221129/medium.jpeg,,,"Jackson Park, Chicago, IL, USA",Brown Thrasher,Toxostoma rufum,Brown Thrasher,Aves,14898
249571764,8172c554-d4ce-4584-a880-facd9071147f,7851757,2024-10-29 01:45:42 +0100,https://www.inaturalist.org/observations/249571764,https://inaturalist-open-data.s3.amazonaws.com/photos/446157490/medium.jpeg,,,"South Chicago, Chicago, IL, USA",Northern Pintail,Anas acuta,Northern Pintail,Aves,6933
95727519,73cc33e8-2094-4b2c-8575-0404cc9f2d1e,917650,2021-09-22 05:52:35 +0200,https://www.inaturalist.org/observations/95727519,https://inaturalist-open-data.s3.amazonaws.com/photos/158955668/medium.jpeg,,,"Chicago, IL 60640, USA",Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Aves,18463
229370842,b39f9b24-a702-4ca9-8525-7f952ee5b011,3772234,2024-07-15 00:16:56 +0200,https://www.inaturalist.org/observations/229370842,https://inaturalist-open-data.s3.amazonaws.com/photos/407129569/medium.jpg,,,"Lincoln Square, Chicago, IL, USA",Eastern Kingbird,Tyrannus tyrannus,Eastern Kingbird,Aves,16782
46561551,12b22200-6869-4d42-b232-97d3a86e8459,1119612,2020-05-20 04:51:15 +0200,https://www.inaturalist.org/observations/46561551,https://inaturalist-open-data.s3.amazonaws.com/photos/73848524/medium.jpg,,,"Hollywood Park, Chicago, IL, USA",Eastern Chipmunk,Tamias striatus,Eastern Chipmunk,Mammalia,46217
153460876,5947dfa4-0d81-4b70-8081-cefbedddd0bc,444909,2023-04-04 18:43:55 +0200,https://www.inaturalist.org/observations/153460876,https://inaturalist-open-data.s3.amazonaws.com/photos/265053337/medium.jpeg,,2,"Cook County, US-IL, US",Mallard,Anas platyrhynchos,Mallard,Aves,6930
78776734,ac2384f7-decb-4f99-809f-240627ab6fe3,1005173,2021-05-15 03:13:05 +0200,https://www.inaturalist.org/observations/78776734,https://inaturalist-open-data.s3.amazonaws.com/photos/128962655/medium.jpg,,3,"Lincoln Park, Chicago, IL, US",White-crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,Aves,9176
53526085,6c22d20d-8b4c-4db0-92e4-3dea95a146a1,2989822,2020-07-18 23:32:34 +0200,https://www.inaturalist.org/observations/53526085,https://inaturalist-open-data.s3.amazonaws.com/photos/85137453/medium.jpeg,,333,Chicago,House Wren,Troglodytes aedon,Northern House Wren,Aves,7562
115632056,df4fb9ad-4570-47c3-b247-c1b632db4eb0,626272,2022-05-05 23:27:55 +0200,https://www.inaturalist.org/observations/115632056,https://static.inaturalist.org/photos/195154650/medium.jpeg,,,"Pulaski Park, Chicago, IL, USA",Lincoln's Sparrow,Melospiza lincolnii,Lincoln's Sparrow,Aves,9092
70760194,7679e5bd-8c9c-48b1-a4b7-62f86e2888f4,2164440,2021-03-07 20:30:54 +0100,https://www.inaturalist.org/observations/70760194,https://inaturalist-open-data.s3.amazonaws.com/photos/115090100/medium.jpeg,,,"Lathrop Homes, Chicago, IL, USA",Northern Shoveler,Spatula clypeata,Northern Shoveler,Aves,558438
69524680,da93b433-47ec-4e39-8f7e-f0d2ee7b64ac,3466871,2021-02-13 23:03:47 +0100,https://www.inaturalist.org/observations/69524680,https://inaturalist-open-data.s3.amazonaws.com/photos/112828221/medium.jpeg,,2,"Hollywood Park, Chicago, IL, USA",Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
154452256,fd209137-dc1c-40ad-bfaa-f4f8f657bdae,462579,2023-04-11 20:13:10 +0200,https://www.inaturalist.org/observations/154452256,https://static.inaturalist.org/photos/266875662/medium.jpg,,3,"McKinley (William) Park, Chicago, IL, US",Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Aves,9096
141556155,fbecba63-1352-48f2-afd5-b814ede1da04,5741117,2022-11-09 20:28:17 +0100,https://www.inaturalist.org/observations/141556155,,,3,"Stony Island Plaza, Chicago, IL, US",,Aves,Birds,Aves,3
3668734,b0a5f4a8-95ee-43c7-ac87-ef21da4682eb,79343,2016-07-13 00:30:17 +0200,http://www.inaturalist.org/observations/3668734,https://inaturalist-open-data.s3.amazonaws.com/photos/4248280/medium.JPG,,,"North Side, Chicago, IL, USA",Domestic Greylag Goose,Anser anser domesticus,Domestic Greylag Goose,Aves,120479
78271055,bbfd074a-c431-4c99-8734-8511c5a32c61,1928743,2021-05-10 22:47:35 +0200,https://www.inaturalist.org/observations/78271055,https://inaturalist-open-data.s3.amazonaws.com/photos/128071719/medium.jpeg,,,"North Park, Chicago, IL, USA",Hermit Thrush,Catharus guttatus,Hermit Thrush,Aves,12890
210529570,9b04c3a5-f202-4778-a9e3-4b846f66b6a5,5834107,2024-04-28 02:45:23 +0200,https://www.inaturalist.org/observations/210529570,https://inaturalist-open-data.s3.amazonaws.com/photos/372364505/medium.jpeg,,2,"Uptown, Chicago, IL, USA",Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,Aves,145245
